epoch,train_loss,test_acc@1,test_acc@5
1,6.153374525216909,38.11,87.94999999999999
2,5.948311047676282,40.03,89.05999999999999
3,5.892726149925819,41.11,89.95
4,5.846771819774921,43.02,90.44
5,5.817419277093349,43.35,91.36999999999999
6,5.7886737505594885,44.05,91.55
7,5.765179418906188,45.18,91.81
8,5.740579296992375,46.67,92.69
9,5.718964131673177,46.949999999999996,92.77
10,5.704622884897085,48.04,93.0
11,5.6878128858713,49.89,93.76
12,5.672616836352226,49.82,94.04
13,5.659965874598576,51.449999999999996,94.31
14,5.646776055067013,52.949999999999996,95.03
15,5.633715045146453,52.82,94.84
16,5.622510560353597,54.059999999999995,95.27
17,5.61453747137999,54.13,95.32000000000001
18,5.603828716278076,54.71,95.25
19,5.59832024207482,55.559999999999995,95.78999999999999
20,5.589565565647223,55.58,95.84
21,5.58203992599096,55.910000000000004,95.89999999999999
22,5.5745151055164825,56.34,95.99
23,5.570609337244278,57.14,95.92
24,5.565753988119272,57.91,96.22
25,5.557591939583803,57.87,96.32
26,5.55618571012448,58.15,96.07
27,5.550096431145302,57.50999999999999,96.24000000000001
28,5.54738262616671,58.47,96.31
29,5.541384496444311,59.089999999999996,96.35000000000001
30,5.536546817192664,58.379999999999995,96.43
31,5.533839179307987,60.08,96.59
32,5.529363206716684,60.07,96.66
33,5.528144437838823,60.24,96.78999999999999
34,5.524062885382237,60.150000000000006,96.84
35,5.521409941942264,60.78,96.88
36,5.519607407007462,60.24,96.91
37,5.516667175292969,61.44,96.83
38,5.512146700345553,60.6,96.78
39,5.508479086558024,61.22,97.17
40,5.508292604104066,61.73,97.05
41,5.503103755070613,61.629999999999995,97.05
42,5.500414104950734,62.27,96.91
43,5.5002882468394745,61.96,97.31
44,5.496732768034324,62.09,96.99
45,5.495186397356865,62.21,97.19
46,5.492957589565179,62.27,97.14
47,5.48944787979126,62.46000000000001,97.08
48,5.488082093458909,62.839999999999996,97.23
49,5.486339119153145,62.580000000000005,97.15
50,5.483928497021015,62.57,97.14
51,5.483377923720922,62.67,97.5
52,5.4844662715227175,63.44,97.21
53,5.481303327511519,63.129999999999995,97.34
54,5.47927478888096,63.54,97.39
55,5.478034633245223,63.13999999999999,97.48
56,5.474886177747678,63.43,97.45
57,5.473635289607904,63.629999999999995,97.24000000000001
58,5.473234602121207,63.59,97.31
59,5.469348760751577,63.9,97.53
60,5.468902091490917,63.38,97.50999999999999
61,5.465479748065655,63.800000000000004,97.52
62,5.466231720264141,63.82,97.53
63,5.465271333547739,63.800000000000004,97.6
64,5.461772952935634,63.980000000000004,97.7
65,5.459883684989734,64.53999999999999,97.7
66,5.46015039346157,64.91,97.81
67,5.460228646107209,64.62,97.76
68,5.458799848801051,64.62,97.76
69,5.456702171227871,64.71000000000001,97.5
70,5.455821401644975,65.14999999999999,97.69
71,5.454781282865084,65.11,97.61
72,5.451691964956431,65.46,97.6
73,5.455646588252141,65.47,97.88
74,5.454581835331061,65.38000000000001,97.78999999999999
75,5.451039309379382,65.19,97.84
76,5.447959990379138,65.44,97.89999999999999
77,5.447795249254275,65.49000000000001,97.83
78,5.448413995596079,65.78,97.88
79,5.446420821165427,65.86999999999999,97.83
80,5.442988914098495,65.31,97.71
81,5.446860985878186,65.9,97.83
82,5.445712556594457,65.83,97.91
83,5.443610012836945,65.53999999999999,97.89
84,5.441802976070306,65.67,97.85000000000001
85,5.443613111055814,66.5,97.92
86,5.441351981040759,66.06,97.85000000000001
87,5.43956626256307,66.06,97.97
88,5.438323583358374,66.58,97.95
89,5.439687885382237,66.64,98.00999999999999
90,5.436186585059533,65.95,97.89999999999999
91,5.437643405718681,66.16,97.94
92,5.438237689091609,66.35,97.94
93,5.43536438086094,65.75999999999999,98.08
94,5.435871082697159,66.74,97.89999999999999
95,5.433463862003424,65.84,97.97
96,5.432963532667894,66.69,98.02
97,5.43119632036258,66.73,98.07000000000001
98,5.4336225583003115,65.75,98.11
99,5.430522397848276,66.31,98.08
100,5.4321443655552,66.46,98.14
